"price","profit","visitors","age","time"
3000,7,2997,3117,2015-12-16
1115,3,2531,1778,2015-12-16
4500,343,16319,896,2015-12-16
460,-75,1196,620,2015-12-16
600,1,1686,2752,2015-12-16
170,8,748,408,2015-12-15
125,0,2,531,2015-12-15
850,9,0,2934,2015-12-15
8000,593,23793,2296,2015-12-14
1750,7,15693,2569,2015-12-14
875,29,7263,985,2015-12-13
1200,106,0,835,2015-12-12
905,-19,1436,470,2015-12-12
2500,20,0,1626,2015-12-11
805,100,871,378,2015-12-10
10000,217,116411,2903,2015-12-10
200,4,3678,985,2015-12-10
200,5,824,439,2015-12-09
400,23,10220,378,2015-12-09
55,-1,191,500,2015-12-09
400,2,267,4060,2015-12-09
800,65,12730,408,2015-12-08
3000,195,12512,1291,2015-12-08
10000,908,246307,531,2015-12-08
1750,65,6071,896,2015-12-07
205,32,1291,439,2015-12-06
600,24,3935,712,2015-12-06
201,-6,42,531,2015-12-06
50,5,82,592,2015-12-06
4700,193,5579,835,2015-12-06
90,5,1217,439,2015-12-05
499,11,123,712,2015-12-05
255,1,861,470,2015-12-05
250,15,2664,620,2015-12-05
1700,15,5736,1230,2015-12-04
180,1,64,2842,2015-12-04
1700,32,33514,985,2015-12-04
250,95,17522,1169,2015-12-03
1600,78,50260,439,2015-12-03
1000,31,6500,865,2015-12-03
1750,111,3086,531,2015-12-03
900,11,12891,985,2015-12-01
200,5,389,1077,2015-12-01
600,76,6738,470,2015-12-01
2100,29,8274,2357,2015-12-01
26,0,108,620,2015-12-01
2500,164,75742,1047,2015-12-01
925,35,4773,3239,2015-11-30
4500,91,51434,896,2015-11-30
470,16,17661,500,2015-11-30
101,3,4600,773,2015-11-30
425,20,864,1808,2015-11-30
1999,296,44054,1747,2015-11-29
2000,19,11273,561,2015-11-29
550,18,4881,1442,2015-11-29
2550,195,5456,712,2015-11-29
375,74,2630,1808,2015-11-28
4150,167,18711,773,2015-11-27
850,-16,3345,743,2015-11-27
500,-9,3714,957,2015-11-27
1400,102,14118,957,2015-11-26
3200,62,23910,1687,2015-11-26
250,-10,73,592,2015-11-26
2000,149,8500,592,2015-11-26
116,-14,0,682,2015-11-24
51,0,493,651,2015-11-24
7500,239,13727,1412,2015-11-23
69,0,56,592,2015-11-23
1000,26,9217,1291,2015-11-22
401,67,923,712,2015-11-22
130,1,1866,712,2015-11-22
1000,79,1455,1291,2015-11-21
899,2,283,957,2015-11-21
1301,-46,16029,1016,2015-11-21
6000,457,4160,439,2015-11-21
800,44,9333,1291,2015-11-20
50,327,77488,1869,2015-11-19
50,-2,460,1412,2015-11-19
300,5,257,651,2015-11-19
50,-5,266,561,2015-11-19
105,16,724,439,2015-11-18
850,16,2860,651,2015-11-17
450,28,746,651,2015-11-17
4000,564,77097,682,2015-11-16
205,0,65,1350,2015-11-16
501,-4,587,3117,2015-11-16
185,23,29,592,2015-11-16
5000,896,38852,2722,2015-11-15
60,0,988,620,2015-11-15
399,43,1043,439,2015-11-15
3000,295,46440,804,2015-11-15
325,5,457,1230,2015-11-15
8000,-231,74052,2842,2015-11-14
1500,320,14144,439,2015-11-14
342,12,565,592,2015-11-14
625,4,5292,865,2015-11-14
305,0,123,2811,2015-11-14
400,142,2609,439,2015-11-14
1350,76,11884,957,2015-11-13
5300,211,95272,804,2015-11-13
1500,276,4840,561,2015-11-13
80,0,305,439,2015-11-12
250,1,0,1381,2015-11-12
116,0,68,6495,2015-11-12
1101,64,32701,2722,2015-11-12
3000,108,8181,1381,2015-11-11
850,271,13305,743,2015-11-11
1300,130,153368,500,2015-11-11
7601,1270,8660,773,2015-11-10
3200,642,41781,926,2015-11-10
75,0,88,1138,2015-11-10
505,61,1755,1169,2015-11-09
379,13,1025,1656,2015-11-09
8550,687,5133,985,2015-11-09
1000,21,11415,1656,2015-11-09
800,250,0,592,2015-11-08
500,-13,338,561,2015-11-08
499,4,131,835,2015-11-07
7000,1143,11831,743,2015-11-05
9000,163,23399,773,2015-11-05
5000,49,3917,1077,2015-11-04
900,57,14891,2842,2015-11-04
1300,98,32535,1473,2015-11-04
650,40,0,3269,2015-11-03
1200,50,3836,561,2015-11-03
3000,248,26918,1169,2015-11-03
40,-2,204,1687,2015-11-03
230,6,124,3330,2015-11-01
750,6,3292,2903,2015-10-31
3500,10,1398,6860,2015-10-30
25,0,55,1869,2015-10-30
3650,236,4658,651,2015-10-30
999,29,5989,651,2015-10-29
1800,79,20878,957,2015-10-29
1450,0,3302,3514,2015-10-29
516,9,1816,1322,2015-10-29
801,-6,569,1595,2015-10-28
2050,1,2607,1047,2015-10-28
5500,404,35535,743,2015-10-28
500,165,42999,1961,2015-10-28
201,0,1486,773,2015-10-27
310,306,0,592,2015-10-27
655,-10,3980,651,2015-10-27
200,22,6459,865,2015-10-26
100,223,450,620,2015-10-26
400,6,1004,561,2015-10-26
399,5,0,651,2015-10-26
355,4,0,1138,2015-10-26
330,84,29569,957,2015-10-25
750,3,3463,1687,2015-10-24
150,233,0,651,2015-10-24
3300,85,5449,5309,2015-10-24
1250,209,1532,500,2015-10-23
250,-5,112,2599,2015-10-23
225,0,4309,592,2015-10-23
100,0,3912,651,2015-10-23
1000,27,15338,743,2015-10-22
850,70,20127,926,2015-10-22
625,0,1142,4303,2015-10-22
1300,657,12135,439,2015-10-21
2850,132,7673,1473,2015-10-21
450,86,30647,712,2015-10-21
315,3,1639,500,2015-10-20
4500,250,43700,743,2015-10-20
2900,-12,14894,1565,2015-10-20
799,-1,1306,1869,2015-10-20
365,22,1387,985,2015-10-20
399,4,1313,1200,2015-10-20
900,6,14388,1169,2015-10-20
80,-1,168,1322,2015-10-20
3000,220,107825,865,2015-10-19
500,104,13222,470,2015-10-19
856,39,4216,804,2015-10-19
46,-20,6,926,2015-10-19
250,9,1683,1169,2015-10-18
2100,306,663,3177,2015-10-18
50,9,175,712,2015-10-17
5600,365,23983,896,2015-10-17
805,23,12862,743,2015-10-17
5000,214,68768,2296,2015-10-17
5000,200,51560,1473,2015-10-16
1801,54,6420,985,2015-10-16
400,0,921,865,2015-10-16
1200,140,1762,439,2015-10-16
2050,88,35690,561,2015-10-16
305,26,3263,592,2015-10-16
2000,3,5000,500,2015-10-15
300,18,788,2357,2015-10-14
550,19,3138,2661,2015-10-14
998,-1,775,3453,2015-10-14
1100,59,3294,1138,2015-10-13
3000,144,37597,1473,2015-10-13
160,25,1025,743,2015-10-13
